Profiling Summary
Name: cnn_model_quant
Accelerator: None
Input Shape: 1x256x256x3
Input Data Type: float32
Output Shape: 1x256x256x1
Output Data Type: float32
Flash, Model File Size (bytes): 11.1M
RAM, Runtime Memory Size (bytes): 13.7M
Operation Count: 29.2G
Multiply-Accumulate Count: 14.6G
Layer Count: 82.0
Unsupported Layer Count: 0
CPU Cycle Count: 5.4G
CPU Utilization (%): 100.0
Clock Rate (hz): 78.0M
Time (s): 68.7
Energy (J): 1.1
J/Op: 38.2p
J/MAC: 76.6p
Ops/s: 424.6M
MACs/s: 211.8M
Inference/s: 14.5m

Layer Summary
.----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Layer Index |         OpCode          | # Ops  | # MACs | # CPU Cycles | Energy(J) | Time(s) |            Inputs             |    Outputs    |                       Options                       |
|-------------|-------------------------|--------|--------|--------------|-----------|---------|-------------------------------|---------------|-----------------------------------------------------|
| 0           | quantize                | 786.4k | 0      | 1.3M         | 249.5u    | 16.5m   | 1x256x256x3                   | 1x256x256x3   | Type=none                                           |
| 1           | conv_2d                 | 119.5M | 56.6M  | 135.3M       | 28.0m     | 1.7     | 1x256x256x3,32x3x3x3,32       | 1x256x256x32  | Padding:Same stride:1x1 activation:Relu             |
| 2           | conv_2d                 | 1.2G   | 604.0M | 145.4M       | 30.6m     | 1.9     | 1x256x256x32,32x3x3x32,32     | 1x256x256x32  | Padding:Same stride:1x1 activation:Relu             |
| 3           | conv_2d                 | 303.6M | 151.0M | 145.4M       | 30.6m     | 1.9     | 1x256x256x32,32x3x3x32,32     | 1x128x128x32  | Padding:Same stride:2x2 activation:Relu             |
| 4           | max_pool_2d             | 2.1M   | 0      | 0            | 0         | 0       | 1x256x256x32                  | 1x128x128x32  | Padding:Valid stride:2x2 filter:2x2 activation:None |
| 5           | conv_2d                 | 607.1M | 302.0M | 173.6M       | 36.8m     | 2.2     | 1x128x128x32,64x3x3x32,64     | 1x128x128x64  | Padding:Same stride:1x1 activation:Relu             |
| 6           | conv_2d                 | 1.2G   | 604.0M | 200.2M       | 42.1m     | 2.6     | 1x128x128x64,64x3x3x64,64     | 1x128x128x64  | Padding:Same stride:1x1 activation:Relu             |
| 7           | conv_2d                 | 302.8M | 151.0M | 200.2M       | 42.1m     | 2.6     | 1x128x128x64,64x3x3x64,64     | 1x64x64x64    | Padding:Same stride:2x2 activation:Relu             |
| 8           | max_pool_2d             | 1.0M   | 0      | 0            | 0         | 0       | 1x128x128x64                  | 1x64x64x64    | Padding:Valid stride:2x2 filter:2x2 activation:None |
| 9           | conv_2d                 | 605.6M | 302.0M | 215.3M       | 45.2m     | 2.8     | 1x64x64x64,128x3x3x64,128     | 1x64x64x128   | Padding:Same stride:1x1 activation:Relu             |
| 10          | conv_2d                 | 1.2G   | 604.0M | 250.1M       | 51.8m     | 3.2     | 1x64x64x128,128x3x3x128,128   | 1x64x64x128   | Padding:Same stride:1x1 activation:Relu             |
| 11          | conv_2d                 | 302.4M | 151.0M | 249.0M       | 51.6m     | 3.2     | 1x64x64x128,128x3x3x128,128   | 1x32x32x128   | Padding:Same stride:2x2 activation:Relu             |
| 12          | max_pool_2d             | 524.3k | 0      | 0            | 0         | 0       | 1x64x64x128                   | 1x32x32x128   | Padding:Valid stride:2x2 filter:2x2 activation:None |
| 13          | conv_2d                 | 604.8M | 302.0M | 246.7M       | 50.2m     | 3.2     | 1x32x32x128,256x3x3x128,256   | 1x32x32x256   | Padding:Same stride:1x1 activation:Relu             |
| 14          | conv_2d                 | 1.2G   | 604.0M | 250.1M       | 51.8m     | 3.2     | 1x32x32x256,256x3x3x256,256   | 1x32x32x256   | Padding:Same stride:1x1 activation:Relu             |
| 15          | conv_2d                 | 302.2M | 151.0M | 130.1M       | 27.6m     | 1.7     | 1x32x32x256,256x3x3x256,256   | 1x16x16x256   | Padding:Same stride:2x2 activation:Relu             |
| 16          | max_pool_2d             | 262.1k | 0      | 0            | 0         | 0       | 1x32x32x256                   | 1x16x16x256   | Padding:Valid stride:2x2 filter:2x2 activation:None |
| 17          | conv_2d                 | 604.4M | 302.0M | 180.9M       | 37.2m     | 2.3     | 1x16x16x256,512x3x3x256,512   | 1x16x16x512   | Padding:Same stride:1x1 activation:Relu             |
| 18          | conv_2d                 | 1.2G   | 604.0M | 245.2M       | 50.0m     | 3.1     | 1x16x16x512,512x3x3x512,512   | 1x16x16x512   | Padding:Same stride:1x1 activation:Relu             |
| 19          | conv_2d                 | 604.2M | 302.0M | 128.9M       | 26.6m     | 1.7     | 1x16x16x512,256x3x3x512,256   | 1x16x16x256   | Padding:Same stride:1x1 activation:Relu             |
| 20          | add                     | 65.5k  | 0      | 5.5M         | 1.2m      | 70.4m   | 1x16x16x256,1x16x16x256       | 1x16x16x256   | Activation:None                                     |
| 21          | conv_2d                 | 131.3k | 65.5k  | 827.1k       | 112.2u    | 10.6m   | 1x16x16x256,1x1x1x256,1       | 1x16x16x1     | Padding:Same stride:1x1 activation:None             |
| 22          | logistic                | 0      | 0      | 0            | 0         | 0       | 1x16x16x1                     | 1x16x16x1     | Type=none                                           |
| 23          | resize_nearest_neighbor | 8.4k   | 0      | 0            | 0         | 0       | 1x16x16x1,2                   | 1x32x32x1     | Type=resizenearestneighboroptions                   |
| 24          | mul                     | 262.1k | 0      | 0            | 0         | 0       | 1x32x32x1,1x32x32x256         | 1x32x32x256   | Activation:None                                     |
